difficulty,missingSpaces,quizString
hard,47,000051000079402010600090342060080007408500900001600034230807100500000020090030706
hard,46,300010068800703105700090040000304020006270001095060000023905007004006850010420600
hard,49,050700900207400031604030870709200508000010000300006012020980300001070040005000006
hard,47,800900070210056040560000002000009018006087930040210000003005701000038065401060090
hard,47,000001200060400510004780390801045700605009030900000820210030680007200040030970000
hard,47,906030400005270018020900000403500701000001090087003520070128300060000000800400259
hard,46,000020900814005030200071006000006050050040389321080070900300107085900000760204005
hard,50,000300604050000070100860050010006097279010000003500008061000200090650000720049030
hard,46,600840000000205680010003009007980060109006570802050003900002000700409830056710200
hard,46,700186300059023000000070004230050000080900500100000647000045890510607020043810060
hard,47,800000006201040305409032710070096080000000000900504007004057109005003002786100004
hard,48,060780020800400061009500030050002497200908000041005000002160009006030518073000000
hard,47,400263700308450096020007100603570000005000803000010009759020040060000021000804050
hard,48,030040080000520130956000700140000008080450029305600000724100000000030507000908064
hard,46,040200000907031008000950037800090046430060590009520703704800000023670050060000100
hard,46,002190035140000070007006800060309017000850960420060000006204003958003002030070080
hard,47,000000150010703040804000002040800600030092004500630070300058010090060725201007806
hard,45,082041003030020791006053000025009010060010359000800407900087042070406000000530008
hard,47,800000704100382069025000010204007005039040180001063000070010906000029300508400000
hard,46,096000047000200300380000592810079035059001000700400180000360000004005078670904010
hard,45,090040000407001650082350010700860294000703080500024100001000005006082007009076320
hard,45,260900045003024000019603008500170000001000980072086000308500071740800690020400003
hard,48,006000030050049100870030060024800900000020710900350004005086002309500040010400078
hard,48,010200600704003002030604700900500270008040190050820000001700506302050081000090040
hard,47,080602070005900003000710005000040096076090280240030100038000002100508400920071500
hard,47,001047932005000780004290000040000005090360010080075600200000356070100809600920100
hard,47,008510200006004730900000081800095067604103002002400019000032040037001000260000500
hard,46,039070042087046000500320060005680907493000000800200100010090620000715008904000300
hard,48,040703009010450030320010800070209010008005062001040000900000001030678905004000280
hard,48,021800300700900050504700001450000037002060040003000809010203580308041060000007900
hard,47,000801065020000004010502700500107006400628090038000100063000040200793000950006028
hard,47,004000000015080097230607000300705000708209040060000051000100900500843062080092304
hard,47,360000008000004050820031000102478005007260003690010040501080760070000082000005401
hard,47,000074080910030002504000100007902408006510003120080050041208060090050070030006900
hard,49,900000354402708000000000007001000608076420000503069020310002005009045006008107000
hard,47,200140073078900000000003296000000020000056318004239500402000005850071040063000001
hard,45,093008000000234008700500021005072130010006009329000075800095403004080910060003800
hard,48,600700005409050807005043100702000390050000000001084502040801000090006080030007469
hard,47,900071604400680000007500231031009060860400753000000020720000300000800000340126090
hard,48,000078040074060900002100500200307100041000000590080760010249005300800000026050019
hard,49,023004800405000006000001007090050140050000032300870009610007050700490600089300200
hard,48,000890005004006080020070391007100000100005960600438070700000403089253000510600000
hard,47,100859000026001504300400170040930200702100008030060010098000002000007006050204390
hard,49,406030900029001380300200000630050008005000000008170062090500030000408100507062040
hard,51,060070028000098600035004010250060000073005406000780900020150007100000300000900040
hard,48,490060000205403070006001009060305800008070010940000700700800023000250480010604050
hard,48,004009300350800007060004125001050000090600008400287500020000409709300010810000670
hard,48,007040080000003406000062030300900070050016902240580001980070054106005009005000010
hard,47,410002000075980060800450009050020803007800900360070001603010048000030002042000105
hard,48,340800001009600520006210047905004800000930000103000060680105000000370100000020789
